contact_fit,state,week,month,samp_size,non_hh_contacts,race_cat_col,state_fips,state_pop,state_cases,state_cases_roll4,national_cases,national_cases_roll4,StringencyIndex_Average,ContainmentHealthIndex_Average,GovernmentResponseIndex_Average,StringencyIndex_Average_roll3,tail_strin,min_strin,min_strin_2022,StringencyIndex_Average_roll3_shifttail,StringencyIndex_Average_roll3_shiftmin,StringencyIndex_Average_roll3_shift2022,StringencyIndex_Average_z,StringencyIndex_Average_z_mincentered,percent_vaxxed,intercept,national_cases_roll4_slope,percent_vaxxed_slope,StringencyIndex_Average_roll3_shiftmin_slope,national_cases_roll4:percent_vaxxed_slope,residual,pred_lm,baseline,mean_mob_19,mean_mob_20,phi,region,fips.numeric,fips.character,scale_baseline
8.032314726963751,NY,2021-03-28,2021-03-01,1145,8.028648195679034,hispanic,36,20154933,56676,52022.5,449739,418443.25,58.33,66.59857142857143,70.77714285714286,56.19523809523813,44.922857142857175,44.922857142857175,19.980952380952413,11.272380952380956,11.272380952380956,36.21428571428572,-0.9160541412187516,0.48061488577356365,18.914704405120077,7.541243328085086,-1.1183727668465339e-6,0.09388465132150166,0.03545353824646271,-1.2928283218240508e-7,-0.1931605229860706,8.225475249949822,7.348082805099016,0.7850007284130804,0.6708903503134627,1.1700879704802754,new york,36,36,8.597903296339316
8.141358743616692,NY,2021-04-04,2021-04-01,1084,7.876718822626904,hispanic,36,20154933,51819,52531.75,458397,423484.25,50.597142857142856,63.05571428571429,67.66857142857143,52.20857142857147,44.922857142857175,44.922857142857175,19.980952380952413,7.285714285714292,7.285714285714292,32.22761904761906,-1.7983361002979819,0.31063736703005773,23.391380164845994,7.541243328085086,-1.1183727668465339e-6,0.09388465132150166,0.03545353824646271,-1.2928283218240508e-7,-0.10000689086138032,8.241365634478072,7.441236437223705,0.7850007284130804,0.6708903503134627,1.1700879704802754,new york,36,36,8.70690124069496
8.259009267248857,NY,2021-04-11,2021-04-01,1115,8.177855470230535,hispanic,36,20154933,48196,52394.5,499778,452247.5,47.69857142857143,62.215714285714284,66.93714285714286,48.3314285714286,44.922857142857175,44.922857142857175,19.980952380952413,3.4085714285714275,3.4085714285714275,28.35047619047619,-2.1290492159402796,0.14532956033994449,27.030960608998306,7.541243328085086,-1.1183727668465339e-6,0.09388465132150166,0.03545353824646271,-1.2928283218240508e-7,0.14535081420899715,8.113658453039859,7.686594142294083,0.7850007284130804,0.6708903503134627,1.1700879704802754,new york,36,36,8.993991339862456
8.38343388609084,NY,2021-04-18,2021-04-01,982,8.334061307487396,hispanic,36,20154933,39357,49012,441100,462253.5,46.69857142857143,61.57142857142857,66.37285714285714,46.3114285714286,44.922857142857175,44.922857142857175,19.980952380952413,1.3885714285714243,1.3885714285714243,26.330476190476187,-2.2431444258710873,0.0592038275986696,30.03256324394628,7.541243328085086,-1.1183727668465339e-6,0.09388465132150166,0.03545353824646271,-1.2928283218240508e-7,0.2851250614760427,8.098308824614797,7.826368389561129,0.7850007284130804,0.6708903503134627,1.1700879704802754,new york,36,36,9.157539505172561
8.511180868497485,NY,2021-04-25,2021-04-01,887,8.802833936447616,hispanic,36,20154933,27701,41768.25,368114,441847.25,44.53714285714286,60.177142857142854,65.15571428571428,44.922857142857175,44.922857142857175,44.922857142857175,19.980952380952413,0,0,24.941904761904762,-2.489753072478675,0,33.6818981238985,7.541243328085086,-1.1183727668465339e-6,0.09388465132150166,0.03545353824646271,-1.2928283218240508e-7,0.22589416495139697,8.285286703546088,7.767137493036483,0.7850007284130804,0.6708903503134627,1.1700879704802754,new york,36,36,9.088234145668311
8.864823496103819,PA,2020-10-04,2020-10-01,387,9.657101038977958,hispanic,42,12989625,7415,6373,341132,305932,56.02,64.58,62.76,55.22571428571428,41.22333333333332,41.22333333333332,22.28761904761905,14.00238095238096,14.00238095238096,32.93809523809523,0.4471644207711068,1.0247247602112168,0,8.694070565497878,-1.304239640057155e-6,0.06379412413819621,0.018360892488545357,-1.1124140210295474e-7,0.31266536091759195,8.552158135186227,9.00673592641547,0.8075514197392976,0.7441866676263715,1.085146314586677,pennsylvania,42,42,9.773626297005167
8.763240000418316,PA,2020-10-11,2020-10-01,325,9.11860609981323,hispanic,42,12989625,9406,7266.75,374037,331079.5,53.63714285714286,63.05428571428571,61.42285714285715,54.29904761904762,41.22333333333332,41.22333333333332,22.28761904761905,13.075714285714298,13.075714285714298,32.01142857142857,0.10642362046371404,0.9569092736146849,0,8.694070565497878,-1.304239640057155e-6,0.06379412413819621,0.018360892488545357,-1.1124140210295474e-7,0.26089465861980726,8.502345341798508,8.954965224117686,0.8075514197392976,0.7441866676263715,1.085146314586677,pennsylvania,42,42,9.717447510203163
8.641333308155845,PA,2020-10-18,2020-10-01,293,8.600180316126362,hispanic,42,12989625,10391,8493.5,426731,361198.25,53.24,62.8,61.2,53.37238095238095,41.22333333333332,41.22333333333332,22.28761904761905,12.149047619047629,12.149047619047629,31.0847619047619,0.04963348707914806,0.8890937870181527,0,8.694070565497878,-1.304239640057155e-6,0.06379412413819621,0.018360892488545357,-1.1124140210295474e-7,0.19528446105569358,8.446048847100151,8.889355026553572,0.8075514197392976,0.7441866676263715,1.085146314586677,pennsylvania,42,42,9.646250846117162
8.493737736933722,PA,2020-10-25,2020-10-01,226,9.512314967492246,hispanic,42,12989625,14505,10429.25,529628,417882,53.24,62.8,61.2,53.24,41.22333333333332,41.22333333333332,22.28761904761905,12.01666666666668,12.01666666666668,30.952380952380953,0.04963348707914806,0.8794058603615055,0,8.694070565497878,-1.304239640057155e-6,0.06379412413819621,0.018360892488545357,-1.1124140210295474e-7,0.12404871596485775,8.369689020968865,8.818119281462735,0.8075514197392976,0.7441866676263715,1.085146314586677,pennsylvania,42,42,9.568949639865004
8.320036943460122,PA,2020-11-01,2020-11-01,241,7.901108565742425,hispanic,42,12989625,17031,12833.25,643439,493458.75,53.24,62.8,61.2,53.24,41.22333333333332,41.22333333333332,22.28761904761905,12.01666666666668,12.01666666666668,30.952380952380953,0.04963348707914806,0.8794058603615055,0,8.694070565497878,-1.304239640057155e-6,0.06379412413819621,0.018360892488545357,-1.1124140210295474e-7,0.048918115707947935,8.271118827752174,8.742988681205826,0.8075514197392976,0.7441866676263715,1.085146314586677,pennsylvania,42,42,9.487421945883534
