week,race_cat_col,state,hh_contacts,non_hh_contacts,samp_size
2020-09-06,hispanic,AK,1.7657500482702477,11.709404865544434,29
2020-09-06,hispanic,AL,2.539604339376767,12.118379128809432,55
2020-09-06,hispanic,AR,2.9461048274003727,8.387008466083762,67
2020-09-06,hispanic,AZ,2.6071651843126564,8.598075267615082,498
2020-09-06,hispanic,CA,3.052995542229822,8.311073087001546,2815
2020-09-06,hispanic,CO,2.4043860723223127,13.07095680303297,355
2020-09-06,hispanic,CT,2.347608766356633,10.602765605299904,249
2020-09-06,hispanic,DC,1.6684714412146706,4.861559616678095,35
2020-09-06,hispanic,DE,3.0997067551300557,6.287549979706584,37
2020-09-06,hispanic,FL,2.4151958845985226,9.095951340632878,1522
2020-09-06,hispanic,GA,2.6786647730696296,9.009071069351393,236
2020-09-06,hispanic,HI,1.9670128452630693,7.40767057674192,71
2020-09-06,hispanic,IA,1.8459566000187972,12.36514535790161,52
2020-09-06,hispanic,ID,2.741280083683794,9.193111775305365,80
2020-09-06,hispanic,IL,2.751049283369966,9.790974759685481,534
2020-09-06,hispanic,IN,2.4606052749389282,10.50404152230477,153
2020-09-06,hispanic,KS,2.5961239903627185,8.970878275572526,105
2020-09-06,hispanic,KY,2.249514372035628,10.676201033716248,61
2020-09-06,hispanic,LA,2.722495002839605,12.094006459893656,122
2020-09-06,hispanic,MA,2.7860492679405686,7.347113634966384,249
2020-09-06,hispanic,MD,3.123484729362565,7.88093315487498,177
2020-09-06,hispanic,ME,2.0684778038073297,5.622435450753023,18
2020-09-06,hispanic,MI,2.7937457763261957,9.899941300391175,203
2020-09-06,hispanic,MN,2.8991331002948266,8.432779968765521,99
2020-09-06,hispanic,MO,2.449634406483518,9.049892937858402,109
2020-09-06,hispanic,MS,2.2640260918086863,14.364827065413918,40
2020-09-06,hispanic,MT,2.6248836640341637,11.416108117886882,27
2020-09-06,hispanic,NC,2.6493957618435053,10.278182995408768,243
2020-09-06,hispanic,ND,2.484377736181122,7.178026125855389,18
2020-09-06,hispanic,NE,2.2721394808401416,9.669511294052878,74
2020-09-06,hispanic,NH,2.2951410804934254,10.52068033822073,39
2020-09-06,hispanic,NJ,2.599916837360235,8.948521853378182,474
2020-09-06,hispanic,NM,2.1987213059235877,8.687032729814982,312
2020-09-06,hispanic,NV,2.7452693024657364,9.690495374970233,146
2020-09-06,hispanic,NY,2.623447176311931,8.396047018628417,822
2020-09-06,hispanic,OH,2.073708399464459,10.879143818420534,177
2020-09-06,hispanic,OK,2.218863424925277,10.747446825775278,120
2020-09-06,hispanic,OR,2.3764805847608814,7.30299762397773,139
2020-09-06,hispanic,PA,2.141291236485703,9.102668832912235,308
2020-09-06,hispanic,RI,2.3723031105973065,6.173517253681551,62
2020-09-06,hispanic,SC,3.0672876291105022,8.932959937055136,116
2020-09-06,hispanic,SD,3.7574255378158408,8.525690110662607,15
2020-09-06,hispanic,TN,2.5778106546541157,11.796570060129653,102
2020-09-06,hispanic,TX,2.6267128837614195,9.40325934138917,2705
2020-09-06,hispanic,UT,3.0152427049542263,10.391080523116424,135
2020-09-06,hispanic,VA,2.669496875432648,8.094675096230977,251
2020-09-06,hispanic,VT,1.9208144697485114,8.02411285660196,7
2020-09-06,hispanic,WA,2.6183799662224794,9.266124858493415,301
2020-09-06,hispanic,WI,2.310840775264904,11.276422987921318,108
2020-09-06,hispanic,WV,1.8006885690957037,7.927470377055974,17
2020-09-06,hispanic,WY,2.345605338545946,10.231472605458729,15
2020-09-06,white,AK,1.9416056463228677,10.243980697263378,342
2020-09-06,white,AL,1.8857822577938523,10.3602377504195,1615
2020-09-06,white,AR,1.7162305828934301,10.000608088886098,1170
2020-09-06,white,AZ,1.7488324078681763,8.46265507550096,2325
2020-09-06,white,CA,1.841838933206119,6.376552470490259,7729
2020-09-06,white,CO,1.809108812737161,8.837737848618358,2512
2020-09-06,white,CT,1.9238767306318476,7.832147454386637,1824
2020-09-06,white,DC,1.1581807296810425,2.683254234142979,208
2020-09-06,white,DE,1.9485234635380824,8.505135903061491,558
2020-09-06,white,FL,1.6887229493712044,8.982978362895764,6967
2020-09-06,white,GA,1.9169663432231203,9.930363576209878,2649
2020-09-06,white,HI,1.7037208478383918,6.2748814233032695,308
2020-09-06,white,IA,1.713791918113919,9.356444784656338,2122
2020-09-06,white,ID,2.081531712361646,10.898924550476345,992
2020-09-06,white,IL,1.8308313100818412,7.901046236596387,5081
2020-09-06,white,IN,1.9168294809533097,10.47074450112428,3069
2020-09-06,white,KS,1.8554560374354576,9.83516031430041,1466
2020-09-06,white,KY,1.9186284650386034,9.694400891948524,1929
2020-09-06,white,LA,1.9361964190919,11.370165524586588,1513
2020-09-06,white,MA,1.8659113892491248,7.056064227533411,2594
2020-09-06,white,MD,1.9162587439248784,6.706343946708792,1593
2020-09-06,white,ME,1.8336516369886648,8.117638122595839,1087
2020-09-06,white,MI,1.9240310929982176,8.870545139306582,5023
2020-09-06,white,MN,1.7883704776296192,8.696046890762485,2613
2020-09-06,white,MO,1.8257185976096437,9.872716297030754,2695
2020-09-06,white,MS,1.8534860332521839,10.660128253275522,916
2020-09-06,white,MT,1.8233934422118354,11.367213538344274,744
2020-09-06,white,NC,1.7719108304835225,9.016072366065433,3958
2020-09-06,white,ND,1.8032426294195474,9.631639941218095,386
2020-09-06,white,NE,1.7839635804215042,10.187578238582184,962
2020-09-06,white,NH,1.8840045724332195,9.238649432909037,986
2020-09-06,white,NJ,1.8982964671194609,8.144777301759888,2539
2020-09-06,white,NM,1.5361385016333247,6.953468035235735,648
2020-09-06,white,NV,1.9374432587758121,9.162424136388491,795
2020-09-06,white,NY,1.743967567112453,8.622662165694857,5611
2020-09-06,white,OH,1.8533078156589093,10.15702951816462,5374
2020-09-06,white,OK,1.8502524854270825,10.115096860151468,1649
2020-09-06,white,OR,1.8313364885438834,7.4831729430997225,1813
2020-09-06,white,PA,1.8223582017839577,9.8215720537397,6233
2020-09-06,white,RI,1.7442613840292909,7.795407759843283,477
2020-09-06,white,SC,1.8990915088180769,10.371836888530755,2549
2020-09-06,white,SD,1.7125641717076785,10.880501074825313,464
2020-09-06,white,TN,1.9151240045407771,10.274913858201538,2786
2020-09-06,white,TX,1.8424548095795756,9.172697376429353,5951
2020-09-06,white,UT,2.542195150851674,10.251530134392056,1380
2020-09-06,white,VA,1.8669239089768348,8.320095739074171,3493
2020-09-06,white,VT,1.5803204738390277,7.268897228612804,504
2020-09-06,white,WA,1.8858013606747506,7.067392711483227,3329
2020-09-06,white,WI,1.7408727485650837,8.708795969893139,3114
2020-09-06,white,WV,1.8943176964483945,10.28552770388337,1100
2020-09-06,white,WY,1.7733139254382821,13.232490605503683,336
2020-09-06,other,AK,2.1195158659680855,7.146461242315738,96
2020-09-06,other,AL,2.287097701280706,9.540373286116939,79
2020-09-06,other,AR,2.291900017763945,8.65382633287044,59
2020-09-06,other,AZ,2.576893783276,11.150969662251182,161
2020-09-06,other,CA,2.3137888943548908,8.569163917329277,754
2020-09-06,other,CO,2.2012220484118274,9.58117953759978,131
2020-09-06,other,CT,2.6039245660579287,8.448895147228225,69
2020-09-06,other,DC,1.6848075584632014,3.5360785009246376,11
2020-09-06,other,DE,2.1742692201284406,12.580685412865586,26
2020-09-06,other,FL,1.8777863085613438,10.837342605927379,299
2020-09-06,other,GA,2.232281192316855,9.58010743687548,145
2020-09-06,other,HI,2.4623087571078823,7.046089262839585,197
2020-09-06,other,IA,2.1742063076977565,8.413988344360794,64
2020-09-06,other,ID,2.3581057613025442,13.846266212204865,60
2020-09-06,other,IL,2.260191883534804,10.678074338552126,159
2020-09-06,other,IN,2.1567248320566654,11.415166628247801,121
2020-09-06,other,KS,1.928062439183136,8.974524566909704,84
2020-09-06,other,KY,1.585504681341859,8.670966036787702,60
2020-09-06,other,LA,2.5873903728100296,11.179175202823895,70
2020-09-06,other,MA,1.9721145707908183,8.574060492617368,102
2020-09-06,other,MD,2.3334093478853593,6.109291119048049,100
2020-09-06,other,ME,1.9408842487894635,17.50503565250872,42
2020-09-06,other,MI,2.1638029849701685,9.516563673863988,233
2020-09-06,other,MN,1.8862318133040825,10.669009779742778,135
2020-09-06,other,MO,2.3353414983233565,10.719786593468719,131
2020-09-06,other,MS,2.2816048845069896,13.673598711466243,37
2020-09-06,other,MT,2.4630662962615197,8.887029382704915,79
2020-09-06,other,NC,2.0009535299343733,10.132744357237856,197
2020-09-06,other,ND,2.425660013860212,10.01249509594837,48
2020-09-06,other,NE,2.079073826672492,15.540556107604571,41
2020-09-06,other,NH,2.962622322667291,11.505020568929826,24
2020-09-06,other,NJ,2.1274621298795307,8.910212447374816,91
2020-09-06,other,NM,2.1269067143707785,10.448850059477605,77
2020-09-06,other,NV,2.1330708549959145,9.070995241628621,66
2020-09-06,other,NY,2.247857262805735,9.197874824916259,287
2020-09-06,other,OH,2.4258513363633796,12.962876939695574,168
2020-09-06,other,OK,2.401981181141134,13.50898356939846,323
2020-09-06,other,OR,2.344654911479391,9.724140366108124,135
2020-09-06,other,PA,2.347247519665448,10.301924787212048,182
2020-09-06,other,RI,1.5796018866240187,5.934990422557322,28
2020-09-06,other,SC,2.240350292165742,13.800758524202484,102
2020-09-06,other,SD,2.7692658192512267,7.43924343499886,50
2020-09-06,other,TN,2.473995062235293,11.05696694331081,96
2020-09-06,other,TX,1.9850613369344785,10.21274234179918,342
2020-09-06,other,UT,2.986711930362444,13.262337725741734,59
2020-09-06,other,VA,2.1300281070165097,9.819876220211937,168
2020-09-06,other,VT,1.4365592516365675,9.279261586213508,18
2020-09-06,other,WA,2.214275535355695,9.029310923164667,276
2020-09-06,other,WI,2.1550419401350616,9.386991132749284,132
2020-09-06,other,WV,1.9876376650424725,12.564351094946103,44
2020-09-06,other,WY,2.4974687787481917,20.79412702292831,21
2020-09-06,asian,AK,1.5947366363200783,4.198337658481119,7
2020-09-06,asian,AL,1.8474195154230328,4.096939604010401,16
2020-09-06,asian,AR,2.2133848089565906,18.943209119197263,12
2020-09-06,asian,AZ,1.8816671588300324,3.8169652100104448,32
2020-09-06,asian,CA,2.331241834767686,5.413183393685669,861
2020-09-06,asian,CO,2.117493104175696,6.502977530870656,37
2020-09-06,asian,CT,2.132454850774597,4.494295565427867,38
2020-09-06,asian,DC,1.2571292036268304,1.8302527742083463,16
2020-09-06,asian,DE,2.8575241928805677,4.862942476643398,8
2020-09-06,asian,FL,2.3231038068055083,8.73232592382182,101
2020-09-06,asian,GA,2.3830918537244905,6.798199725081719,78
2020-09-06,asian,HI,2.4713315663863376,9.010468647627583,106
2020-09-06,asian,IA,3.5058855983645216,6.718211547914653,14
2020-09-06,asian,ID,1.6150956644007353,2.1981026254253764,3
2020-09-06,asian,IL,2.3939948750097066,5.8964683970886504,159
2020-09-06,asian,IN,2.03318869427985,8.909659350848074,36
2020-09-06,asian,KS,3.140406142709391,5.346844816456885,17
2020-09-06,asian,KY,1.5208504935850027,12.814332568893922,15
2020-09-06,asian,LA,1.6455667900432662,5.448191716414323,17
2020-09-06,asian,MA,1.8408553157813423,7.727535227196715,74
2020-09-06,asian,MD,2.814398252137603,5.547608057757467,76
2020-09-06,asian,ME,3.614754773168285,7.646439775695276,6
2020-09-06,asian,MI,2.2260682729249974,7.364324444854014,73
2020-09-06,asian,MN,2.575627018341034,5.058528752024836,42
2020-09-06,asian,MO,1.5001696436214536,8.635212224845244,22
2020-09-06,asian,MS,2.7837654651797568,7.8083929056196135,10
2020-09-06,asian,MT,2.4936071030912568,5.012785793817487,2
2020-09-06,asian,NC,1.9296493233726806,7.781528793961199,64
2020-09-06,asian,ND,2.4726545557710318,2.5488002394373916,3
2020-09-06,asian,NE,1.6990183031702304,6.498046719011589,9
2020-09-06,asian,NH,1.4175819819872244,3.021269537129818,8
2020-09-06,asian,NJ,2.1245496717902306,5.808853628129917,150
2020-09-06,asian,NM,1.5423173748843675,6.026059977282286,9
2020-09-06,asian,NV,2.2165259912726127,5.656154455556126,35
2020-09-06,asian,NY,2.236562996177652,7.786253056391312,210
2020-09-06,asian,OH,2.4579869572589943,5.7842979747228185,46
2020-09-06,asian,OK,2.03932369439141,8.283263056395706,13
2020-09-06,asian,OR,1.8918610700333434,4.67426756643131,32
2020-09-06,asian,PA,2.225326978807973,9.022853055079194,83
2020-09-06,asian,RI,3.1238198481507453,10.562041162969162,6
2020-09-06,asian,SC,1.8840598484483084,12.405801522815457,9
2020-09-06,asian,SD,0.4239383160018569,8.967568212012997,2
2020-09-06,asian,TN,1.8560273831075622,10.581289797442208,27
2020-09-06,asian,TX,2.5441539562820084,7.023168550911877,223
2020-09-06,asian,UT,2.388102932224216,8.455354333590948,20
2020-09-06,asian,VA,2.3285206425270233,4.575852211981243,129
2020-09-06,asian,WA,2.1459899072301294,4.844685003482141,137
2020-09-06,asian,WI,2.1182867582629004,8.603877865395694,30
2020-09-06,asian,WV,1.8843182088222885,10.676333577101836,5
2020-09-06,asian,WY,1,16,1
2020-09-06,black,AK,2.428073620339615,8.936186472508048,7
2020-09-06,black,AL,2.1961236337542482,6.769081749641547,247
2020-09-06,black,AR,1.9897617177812823,8.364983507225972,88
2020-09-06,black,AZ,2.7847324918737204,10.383201170512805,70
2020-09-06,black,CA,1.9973702275367726,6.305885833545212,377
2020-09-06,black,CO,2.01495758014886,10.758329251753072,39
2020-09-06,black,CT,2.2143835307265487,7.487428947718184,90
2020-09-06,black,DC,1.7913719412643458,6.72515152266874,56
2020-09-06,black,DE,2.6857838912632537,8.085670987677684,45
2020-09-06,black,FL,2.402931972498026,8.383648774049846,458
2020-09-06,black,GA,2.370286765947895,7.948418659940024,626
2020-09-06,black,HI,2.0554675009153667,7.0769117711204,8
2020-09-06,black,IA,2.743472640077807,8.345442830384052,34
2020-09-06,black,ID,2.5626314985935617,0.9831814647492809,4
2020-09-06,black,IL,1.9599914372282026,9.315024130862032,332
2020-09-06,black,IN,1.6659978967397484,6.227020561522477,121
2020-09-06,black,KS,2.264506999093417,7.169370595821761,41
2020-09-06,black,KY,2.3382699505331512,6.632912199002113,71
2020-09-06,black,LA,2.3063601313666315,9.844703703779185,319
2020-09-06,black,MA,2.4611657930055926,10.823524003964955,68
2020-09-06,black,MD,2.3646987889826923,6.869638251969543,317
2020-09-06,black,ME,2.3820350391251193,13.34751314305498,8
2020-09-06,black,MI,1.8958912347692312,8.211705563050533,299
2020-09-06,black,MN,2.2977305026956394,9.716551721682702,67
2020-09-06,black,MO,2.1956328279841064,12.015843769155557,94
2020-09-06,black,MS,2.3794584663774754,9.46000354589231,252
2020-09-06,black,MT,0.4872933728241952,0.5127066271758048,2
2020-09-06,black,NC,2.234822035227264,7.924577759062411,490
2020-09-06,black,ND,1.3188922644510344,6.3188922644510335,3
2020-09-06,black,NE,1.8487178156433013,11.32420139334983,22
2020-09-06,black,NH,1.7125968725501495,2.984620619280238,7
2020-09-06,black,NJ,2.2668310866235717,9.296209822361206,216
2020-09-06,black,NM,1.6242805511596543,1.5965044636729464,7
2020-09-06,black,NV,2.282611252875571,4.399453756770751,40
2020-09-06,black,NY,2.1009558531673687,8.02954291096894,386
2020-09-06,black,OH,2.1072339317871034,8.915300384756375,279
2020-09-06,black,OK,2.0780451003483997,9.248003011732328,55
2020-09-06,black,OR,1.4819400247969785,6.513416731231992,15
2020-09-06,black,PA,2.188460119930024,9.042815319238601,229
2020-09-06,black,RI,2.4097679800166474,8.706668844958578,22
2020-09-06,black,SC,2.1378013110620233,9.045073699500229,357
2020-09-06,black,SD,0.6675242506949979,19.637565240241873,3
2020-09-06,black,TN,2.27669497036469,7.3397792781815925,205
2020-09-06,black,TX,2.2560446826427354,8.230509104320772,526
2020-09-06,black,UT,3.189137044764657,6.988614254021524,7
2020-09-06,black,VA,2.0254072806253687,6.453533092460613,392
2020-09-06,black,VT,2.9416610215202486,1.6933423655676023,4
2020-09-06,black,WA,2.468197422467716,6.042418401614205,63
2020-09-06,black,WI,2.371508788218338,9.079845130102987,49
2020-09-06,black,WV,1.6313410303037779,7.667183611384098,20
2020-09-06,black,WY,3,0,1
2020-09-13,hispanic,AK,1.5782893930324438,6.978770706483988,40
2020-09-13,hispanic,AL,2.559186979219243,11.95116529758712,82
2020-09-13,hispanic,AR,2.068180912001024,9.609944188144702,92
2020-09-13,hispanic,AZ,2.679761047396955,10.227139608562016,671
2020-09-13,hispanic,CA,2.9800016669276608,8.3192294879633,3758
2020-09-13,hispanic,CO,2.46437955204097,10.89450710454604,458
2020-09-13,hispanic,CT,2.3914353174159135,10.133336340172791,293
2020-09-13,hispanic,DC,1.3674337179312253,4.179818074536314,39
2020-09-13,hispanic,DE,3.096231064128163,11.721846900721864,54
2020-09-13,hispanic,FL,2.368414719268337,9.486766182871184,2064
2020-09-13,hispanic,GA,2.7522102749142516,9.009982519287908,308
2020-09-13,hispanic,HI,2.539757503712077,7.839570290136616,80
2020-09-13,hispanic,IA,2.5538199367939622,10.01550321734932,107
2020-09-13,hispanic,ID,2.9936224600081283,13.046594980313454,73
2020-09-13,hispanic,IL,2.474128305759691,8.553194660613642,695
2020-09-13,hispanic,IN,2.805000304955407,11.273404884184862,220
2020-09-13,hispanic,KS,2.4886414850568,10.619544577972036,146
2020-09-13,hispanic,KY,2.232149185152609,10.117511994461752,83
2020-09-13,hispanic,LA,2.212941553762464,14.51107511461696,141
2020-09-13,hispanic,MA,2.5582611701048457,8.343186326293795,357
2020-09-13,hispanic,MD,2.785897001232428,7.842400694869306,267
2020-09-13,hispanic,ME,1.6705831286487927,9.320466679713862,31
2020-09-13,hispanic,MI,2.5290942342705245,9.25766944999644,243
2020-09-13,hispanic,MN,2.506737573207427,7.179391968232743,145
2020-09-13,hispanic,MO,2.2361361964200253,7.879045686733188,135
